brand_id	brand_name	yoyo_id	primary_store
11159	Holmris		
682	A19	a19-lighting	yl
683	Ai Lati	ai-lati	yl
684	Alessi	alessi	yv
685	Ameico		
686	AFX	american-fluorescent	yl
687	&Tradition		
688	Anglepoise		
689	Artek		
690	Artemide Lighting	artemide	yl
691	Arturo Alvarez		
692	Attilo Wismer		
693	AXO Light	axo-light	yl
694	Babette Holland		
695	Ballfinger Lighting		
696	Besa Lighting	besa-lighting	yl
697	Blankblank		
698	Blankblank Studiot		
699	Blankblank Zinn		
700	Blauet	blauet	yl
701	Bloom		
702	B.Lux	blux	yl
703	Bocci	bocci	yl
704	Bover	bover	yl
705	Bruck Lighting	bruck	yl
706	Brunklaus Amsterdam Lighting	brunklaus-amsterdam	yl
707	Castor Design	castor-design	yl
708	Cerno		
709	Cherry Tree Design		
710	Condor Lighting		
711	Contardi	contardi	yl
712	Cree Lighting	cree	yl
713	CSL Lighting	csl-lighting	yl
714	Dab		
715	David Trubridge Design		
716	Design By Frandsen		
717	Illuminating Experiences		
718	Design By Liao		
719	Dimmers		
720	Droog		
721	& Costa		
722	Essenze		
723	Established Sons		
724	Estiluz Lighting		
725	Eurofase		
726	Fabbian		
727	Fambuena		
728	Fanimation		
729	Fdv Collection		
730	FLOS Lighting		
731	Flux	flux	yv
732	FontanaArte		
733	Foscarini		
734	Gandia Blasco		
735	George Kovacs		
736	Hampstead Lighting		
737	HelenBilt		
738	Herman Miller		
739	Holtkoetter		
740	Hubbardton Forge		
741	Humanscale		
742	Lamp International		
743	Illuminating Experiences Lighting		
744	Oty Light		
745	Illuminating Experiences Contardi Collection		
746	Illuminating Experiences Contemporary		
747	Illuminating Experiences Cubox		
748	Illuminating Experiences Meltemi Collection		
749	Vetreria DeMajo		
750	Ingo Maurer		
751	Innermost		
752	Itre		
753	Jamie Young Co.		
754	Jonathan Adler		
755	Robert Abbey		
756	Kartell		
757	Koncept Lighting		
758	Kundalini		
759	LBL Lighting		
760	Le Klint		
761	Leucos		
762	Lightolier		
763	Lights Up		
764	Lightyears		
765	Louis Poulsen		
766	Luceplan		
767	Lucesco		
768	Lucitalia		
769	Lujan Sicilia		
770	LumenArt		
771	Lumina		
772	LUXIT		
773	Luxo		
774	Lx Japan		
775	Lyx		
776	Lzf Lamps		
777	Marset		
778	Mater		
779	Matthews Fan Company		
780	Maxim		
781	Metalarte		
782	Miaicefa		
783	Minka Aire		
784	Modern Fan Co.		
785	Modiss		
786	ModoLuce		
787	Mood Light		
788	Moooi		
789	George Nelson Bubble Lamps		
790	NEMO Italianaluce		
791	Nemo Franco Albini		
792	Niche Modern		
793	Offi &amp;amp; Company		
794	Ogus		
795	Oluce		
796	Omikron Design		
797	Oxygen Lighting		
798	Pablo		
799	Pallucco		
800	Plumen		
801	Porce Light		
802	Prandina		
803	Produzione Privata		
804	Quasar		
805	Rezek by Artemide		
806	Rich Brilliant Willing		
807	Roll &amp; Hill		
808	Rossetti		
809	Rotaliana		
810	Santa &amp;amp; Cole		
811	Schonbek		
812	Simon Pearce		
813	Slamp		
814	Solar Cynergy		
815	Sonneman	sonneman	yl
816	Spark Lighting		
817	Spark Viso		
818	Stonegate Designs		
819	Studio Italia Design		
820	Sundayland		
821	Taller Uno		
822	Tango Lighting		
823	Targetti		
824	TECH Lighting		
825	Tech Lighting 2kdegrees		
826	Terzani		
827	Tom Dixon		
828	Translite Systems		
829	Tronconi		
830	Unique Interieur		
831	Varaluz		
832	Venini		
833	Verpan		
834	VIBIA		
835	Vistosi		
836	WAC Lighting		
838	Zaneen		
5717	Lutron	lutron	yl
11160	Akaba	akaba	yv
8779	Iacoli &amp; McAllister		
9196	ilomio		
8778	Hudson Valley		
2072	Smart &amp;amp; Green		
1752	Ango	ango	yl
9195	MUUTO		
5258	LittleFootprint Lighting		
5260	Swarovski Lighting		
5261	AV Mazzega	av-mazzega	yl
5262	Global Lighting		
5263	Garden Party by Global Lighting		
5264	Hinkley Lighting		
5265	BEGA	bega	yl
5266	Fredrick Ramond		
5267	Period Arts Fan Company		
5268	Light &amp;amp; Contrast		
5269	Michael McHale Designs		
5259	Resident		
5257	Hive		
5270	Tango Lighting Collection		
5271	Carpyen	carpyen-lighting	yl
5272	Axis71	axis-71-lighting	yl
5273	Philips Consumer Luminaires		
5274	Masiero		
5275	Structures		
5276	Philips Forecast Lighting		
5277	Secto Design		
5278	LightLove		
5279	Slamp		
5280	Modern Forms		
5281	Blackjack Lighting	blackjack-lighting	yl
5606	Stickbulb	stickbulb	yl
11154	Infinity Drain	infinity-drain	yb
6978	Ridgely Studio Works		
6979	Viso		
5765	PELLE		
6786	Forestier		
6787	Tunto		
9714	Ak47	ak-47	yv
9715	Alchemy Glass	alchemy-glass	yb
9716	Alice Tacheny Design	alice-tacheny-design	yv
9717	Ali Sandifer Studio	ali-sandifer	yv
9718	Amba Towel Warmers	amba	yb
9719	Ambiance Bain	ambiance-bain	yb
9720	Antonello Italia	antonello-italia	yv
9721	Anything Design		
9722	Aquamass	aquamass	yb
9723	Arblu	arblu	yb
9724	Areaware	areaware	yv
9725	Arktura Furniture	arktura	yv
9726	Art Ceram	art-ceram	yb
9727	Artecnica	artecnica	yv
9728	Artelinea	artelinea	yb
9729	Artifort	artifort	yv
9730	ARTLESS	artless	yv
9731	Atmosphere Globes	atmosphere-globes	yv
9732	Axor	axor	yb
9733	Azzurra	azzurra	yb
9734	Babyletto	babyletto	yv
9735	BDI	bdi	yv
9736	Bend Seating	bend-seating	yv
9737	Blu Dot	blu-dot	yv
9738	Board by Design	board-by-design	yv
9739	Bobles	bobles	yv
9740	Bontempi Casa	bontempi-casa	yv
9741	Born In Sweden	born-in-sweden	yv
9742	Boskke	boskke	yv
9743	Bowron Sheepskins	bowron-sheepskins	yv
9744	Braun	braun	yv
9745	Bunaco Company	bunaco	yv
9746	BuzziSpace	buzzispace	yv
9747	Calligaris	calligaris	yv
9748	Carl Mertens		
9749	Case Furniture		
9750	Cattelan Italia	cattelan-italia	yv
9751	Chandra Rugs	chandra-rugs	yv
9752	Cherner Chair Company	cherner-chair	yv
9753	Chive	chive	yv
9754	Coalesse	coalesse	yv
9755	Componendo	componendo	yb
9756	Conmoto	conmoto	yv
9757	Copeland Furniture	copeland-furniture	yv
9758	Danese Milano	danese-milano	yv
9759	David Rasmussen		
9760	De La Espada	de-la-espada	yv
9761	Design House Stockholm		
9762	Design Kollection	design-kollection	yv
9763	Domitalia	domitalia	yv
9764	Driade Furniture		
9765	Eastvold Furniture	eastvold-furniture	yv
9766	Elemental Living		
9767	Elementem Photography	elementem	yv
9768	Essey	essey	yv
9769	Estel	estel	yv
9770	Eva Solo	eva-solo	yv
9771	Fatboy	fatboy	yv
9772	ferm LIVING	ferm-living	yv
9773	Fermob	fermob	yv
9774	Fferrone Design	fferrone	yv
9775	FIAM	fiam	yv
9776	Flensted Mobiles	flensted-mobiles	yv
9777	Fossil	fossil	yv
9778	Freek	freek	yv
9779	GAN Rugs	gan-rugs	yv
9780	Geberit	geberit	yb
9781	Geneva Sound System	genevasound	yv
9782	Gense	gense	yv
9783	Goods	goods	yv
9784	Graff	graff	yb
9785	Grain	grain	yv
9786	Grand Splendid	grand-splendid	yv
9787	Greenington	greenington	yv
9788	Green Srl	green-srl	yv
