designer_id	designer_name	yoyo_id	primary_store
1	Azzolin		
2	Designer		
3	Anissa Szeto	designer-anissa-szeto	yl
4	Christian Ploderer	designer-christian-ploderer	yl
5	Luc Ramael		
6	Marcin Padlewski		
7	Mengotti		
8	Michel Devernet		
9	Prandina		
10	Sandro Santantonio		
11	Achille Castiglioni		
12	Alberto Gozzi		
13	Aldo Rossi		
14	Alessandro Mendini		
15	Anselmo Vitale		
16	Antonio Cagianelli		
17	Carlo Alessi		
18	Carlo Mazzeri		
19	Clare Brass	designer-clare-brass	yv
20	CSA	designer-csa	yv
21	Donata Paruccini		
23	Donato D&#039;Urbino		
24	Elja Helander	designer-elja-helander	yl
25	Emma Silvestris		
26	Ettore Sottsass		
27	Fernando Campana		
28	Francesca Amfitheatrof	designer-francesca-amfitheatrof	yv
29	Franco Sargiani		
30	Frank Gehry	designer-frank-gehry	yv
31	Gabriele Chiave	designer-gabriele-chiave	yv
32	Giovanni Alessi Anghini		
33	Gualtiero Archesi	designer-gualtiero-archesi	yv
34	Guido Venturini	designer-guido-venturini	yv
35	Hani Rashid		
36	Humberto Campana		
37	Jasper Morrison		
38	Joanna Lyle	designer-joanna-lyle	yv
39	Khodi Feiz		
40	King Kong	designer-king-kong	yv
41	Kobi Wiesendanger	designer-kobi-wiesendanger	yv
42	Kristiina Lassus		
43	Lluis Clotet		
44	Lorenzo Piccione Di Pianogrillo	designer-lorenzo-piccione-di-pianogrillo	yv
45	LPWK	designer-lpwk	yv
46	Luigi Massoni		
47	Marta Sansoni	designer-marta-sansoni	yv
48	Massimo Giacon	designer-massimo-giacon	yv
49	Massimo Morozzi	designer-massimo-morozzi	yv
50	Mattia Di Rosa		
51	Michael Graves		
52	Mika H. J. Kim	designer-mika-h-j-kim	yv
53	Miriam Mirri	designer-miriam-mirri	yv
54	Paolo Lomazzi		
55	Paolo Pagani	designer-paolo-pagani	yv
56	Patrick Jouin		
57	Paul Van Iersel Harry	designer-paul-van-iersel-harry	yv
58	Philippe Starck		
59	Pier Giacomo Castiglioni		
60	Piero Lissoni		
61	Richard Sapper		
62	Ron Arad		
63	Stefano Giovannoni		
64	Steve Blaess		
65	Susan Cohn		
66	Theo Williams	designer-theo-williams	yv
67	Ufficio Tecnico Alessi	designer-ufficio-tecnico-alessi	yv
68	Wolfgang Hints		
69	Antonio Citterio		
70	Edward Barber		
71	Gino Sarfatti		
72	Jay Osgerby		
73	Joris Laarman		
74	Konstantin Grcic		
75	Marcel Wanders		
76	Marcello Ziliani		
77	Matteo Thun		
78	Oliver Low		
79	Paolo Rizzato		
80	Patricia Urquiola		
81	Piero Castiglioni		
82	Piero Manz		
83	Rodolfo Dordoni		
84	Ron Gilad		
85	Sebastian Wrong		
86	Tim Derhaag		
87	Toan Nguyen		
88	Tobia Scarpa		
89	Adriano Rachele	designer-adriano-rachele	yl
90	Bruno Rainaldi	designer-bruno-rainaldi	yl
91	Carlo Contin		
92	Elodie Longo	designer-elodie-longo	yl
93	Francesco Paretti		
94	Luca Mazza		
95	Manuel Wijffels		
96	Nigel Coates		
97	Stefano Papi		
98	Susanna Succhiarelli		
99	Agnes And Hoss	designer-agnes-and-hoss	yl
100	Fusion Z		
101	Gonzalo Gonzales		
102	Zia Priven Design		
103	Ai Lati		
104	Federico De Majo		
105	Aia Salazar Navarro		
106	Antonio Herrero	designer-antonio-herrero	yl
107	Carlos Serra	designer-carlos-serra	yl
108	Diego Fortunato		
109	Eduardo Albors	designer-eduardo-albors	yl
110	Francesc Vilaro		
111	Gemma Bernal		
112	Gonzalo Mila		
114	Jh Van Lierde		
115	Jon Santacoloma		
116	Jorge Pensi		
117	Josep Novell		
118	Josep Puig		
119	Manel Ybarguengoitia		
120	Mario Ruiz		
121	Miguel Angel Ciganda		
122	Miguel Herranz		
123	Quim Larrea		
124	Ramon Isern		
